CÓDIGO;Semana;Acumulado;PERIODO
DMSM;202320;2;202390
DMSM;202321;5;202390
DMSM;202322;7;202390
DMSM;202323;9;202390
DMSM;202324;10;202390
DMSM;202325;13;202390
DMSM;202326;16;202390
DMSM;202327;21;202390
DMSM;202328;23;202390
DMSM;202329;25;202390
DMSM;202330;25;202390
DMSM;202331;25;202390
DMSM;202332;25;202390
DMSM;202333;42;202390
DMSM;202334;43;202390
DMSM;202335;52;202390
DMSM;202336;53;202390
DOPS;202321;1;202390
DOPS;202322;3;202390
DOPS;202323;4;202390
DOPS;202324;6;202390
DOPS;202325;7;202390
DOPS;202326;8;202390
DOPS;202327;11;202390
DOPS;202328;12;202390
DOPS;202329;13;202390
DOPS;202330;13;202390
DOPS;202331;13;202390
DOPS;202332;13;202390
DOPS;202333;24;202390
DOPS;202334;28;202390
DOPS;202335;30;202390
DOPS;202336;32;202390
DPCI;202322;3;202390
DPCI;202323;6;202390
DPCI;202324;6;202390
DPCI;202325;8;202390
DPCI;202326;10;202390
DPCI;202327;20;202390
DPCI;202328;20;202390
DPCI;202329;21;202390
DPCI;202330;21;202390
DPCI;202331;21;202390
DPCI;202332;21;202390
DPCI;202333;33;202390
DPCI;202334;38;202390
DPCI;202335;40;202390
DPCI;202336;46;202390
DSVE;202326;2;202390
DSVE;202327;3;202390
DSVE;202328;4;202390
DSVE;202329;4;202390
DSVE;202330;4;202390
DSVE;202331;4;202390
DSVE;202332;4;202390
DSVE;202333;6;202390
DSVE;202334;6;202390
DSVE;202335;8;202390
DSVE;202336;8;202390
DVMP;202322;2;202390
DVMP;202323;2;202390
DVMP;202324;2;202390
DVMP;202325;2;202390
DVMP;202326;2;202390
DVMP;202327;4;202390
DVMP;202328;4;202390
DVMP;202329;4;202390
DVMP;202330;4;202390
DVMP;202331;4;202390
DVMP;202332;4;202390
DVMP;202333;5;202390
DVMP;202334;5;202390
DVMP;202335;8;202390
DVMP;202336;9;202390
DCAA;202319;1;202390
DCAA;202320;1;202390
DCAA;202321;1;202390
DCAA;202322;2;202390
DCAA;202323;2;202390
DCAA;202324;3;202390
DCAA;202325;3;202390
DCAA;202326;5;202390
DCAA;202327;5;202390
DCAA;202328;5;202390
DCAA;202329;6;202390
DCAA;202330;6;202390
DCAA;202331;7;202390
DCAA;202332;7;202390
DCAA;202333;7;202390
DCAA;202334;8;202390
DCAA;202335;8;202390
DCAA;202336;12;202390
DGGE;202318;1;202390
DGGE;202319;1;202390
DGGE;202320;1;202390
DGGE;202321;2;202390
DGGE;202322;2;202390
DGGE;202323;2;202390
DGGE;202324;2;202390
DGGE;202325;4;202390
DGGE;202326;5;202390
DGGE;202327;8;202390
DGGE;202328;9;202390
DGGE;202329;9;202390
DGGE;202330;9;202390
DGGE;202331;9;202390
DGGE;202332;9;202390
DGGE;202333;10;202390
DGGE;202334;10;202390
DGGE;202335;10;202390
DGGE;202336;10;202390
DPPC;202320;1;202390
DPPC;202321;3;202390
DPPC;202322;3;202390
DPPC;202323;3;202390
DPPC;202324;4;202390
DPPC;202325;4;202390
DPPC;202326;4;202390
DPPC;202327;5;202390
DPPC;202328;5;202390
DPPC;202329;6;202390
DPPC;202330;7;202390
DPPC;202331;7;202390
DPPC;202332;8;202390
DPPC;202333;10;202390
DPPC;202334;11;202390
DPPC;202335;12;202390
DPPC;202336;13;202390
DEBE;202328;4;202390
DEBE;202329;7;202390
DEBE;202330;8;202390
DEBE;202331;8;202390
DEBE;202332;8;202390
