CÓDIGO;Acumulado;Semana;PERIODO
DVMP;6;16;202290
EMCT;1;16;202290
EOCM;4;16;202290
EOEN;1;16;202290
EOEN;10;16;202290
EOIM;1;16;202290
EOIM;4;16;202290
EOIO;1;16;202290
EOIO;10;16;202290
EOOP;8;16;202290
EOOR;6;16;202290
EOPE;8;16;202290
EORO;2;16;202290
EORO;10;16;202290
EORO;1;16;202290
EOTT;2;16;202290
EOTT;4;16;202290
MAEC;1;16;202290
MAGS;1;16;202290
MAGS;8;16;202290
MDAD;1;16;202290
MDAD;1;16;202290
MDAD;10;16;202290
MDDE;2;16;202290
MDDE;5;16;202290
MDDE;1;16;202290
MDGE;2;16;202290
MDPE;5;16;202290
MDRC;10;16;202290
MDTR;12;16;202290
MEDU;4;16;202290
MEMG;7;16;202290
MEPI;6;16;202290
MFIA;3;16;202290
MHGP;1;16;202290
MHGP;3;16;202290
MNPP;1;16;202290
MNPP;3;16;202290
MPSP;1;16;202290
MPSP;6;16;202290
MSCF;1;16;202290
MSCF;1;16;202290
MSCM;1;16;202290
MTEM;1;16;202290
MTEM;6;16;202290
PEIN;1;16;202290
PEOG;2;16;202290
PEOG;13;16;202290
PEOG;1;16;202290
PEPA;2;16;202290
PEPA;2;16;202290
PEPA;10;16;202290
PEPA;1;16;202290
PMEM;10;16;202290
PMEM;3;16;202290
PMEM;1;16;202290
CBPE;10;17;202290
CCOM;2;17;202290
CICS;1;17;202290
CURV;1;17;202290
DAAG;8;17;202290
DAAG;5;17;202290
DAAM;13;17;202290
DCAA;6;17;202290
DCAA;1;17;202290
DCKR;4;17;202290
DCOL;19;17;202290
DCPA;59;17;202290
DCPA;2;17;202290
DCPA;4;17;202290
DCPA;1;17;202290
DDCO;3;17;202290
DDDD;1;17;202290
DDEC;37;17;202290
DDEI;15;17;202290
DDEI;15;17;202290
DDEP;4;17;202290
DDEP;1;17;202290
DDGE;14;17;202290
DDIN;1;17;202290
DDIP;3;17;202290
DDLE;1;17;202290
DDUD;12;17;202290
DDUD;13;17;202290
DECC;5;17;202290
DERA;2;17;202290
DERA;15;17;202290
DERO;25;17;202290
DERO;5;17;202290
